dataset,fold,FCN,MotionGRU,ConvTran,ConvLSTM,VanTran,DisjointCNN,STGCN,LITEMV,H-Inception
UIPRMD_reg_HS,3,0.0883121435710787,0.105224801437259,0.134382316423655,0.0889975364804268,0.138046496906281,0.109180137841105,0.120904344530106,0.0972929921633005,0.163682302227318
UIPRMD_reg_HS,4,0.174799301554816,0.0548634153332028,0.211574926245553,0.100448162234511,0.175667270291192,0.208270686625072,0.186340009013585,0.0702211382661547,0.0974771329535756
UIPRMD_reg_HS,5,0.115673523584093,0.0431815208618981,0.108400895184108,0.0783276834133693,0.161354514266423,0.108657972023828,0.112026438924244,0.0572082631628854,0.1788213467162
UIPRMD_reg_HS,6,0.26184540289561,0.0879165611918767,0.091920101866722,0.0878631096609433,0.138507702285449,0.100524831282298,0.126060706165632,0.0950733942047754,0.156989576646884
UIPRMD_reg_IL,0,0.138117903568347,0.229488472773631,0.160178139269882,0.166644795522955,0.173694097574022,0.199178962039153,0.142675442354414,0.202437722480562,0.168199508641958
UIPRMD_reg_IL,1,0.339827140884399,0.272644237220022,0.349482937372526,0.338064459836218,0.189053384758631,0.274242601841821,0.197767197388013,0.231269117964109,0.403713088412351
UIPRMD_reg_IL,2,0.178421389417648,0.128605786844889,0.0564435031444496,0.107073372782071,0.179982991440031,0.0934337214122878,0.206658303771549,0.132373322954443,0.151772016814682
UIPRMD_reg_IL,3,0.201596021760835,0.194477262391779,0.213548972580168,0.194950324167675,0.194269509156545,0.184035618477397,0.216199789553218,0.247379973591169,0.233853948793196
UIPRMD_reg_IL,4,0.205740162460539,0.13819948326985,0.171669714712567,0.16728763417032,0.230167795284059,0.196499486496184,0.169974459770785,0.149198454618984,0.224250506629745
UIPRMD_reg_IL,5,0.277362852052848,0.191696245860259,0.166681676121553,0.158963292705218,0.146846074325244,0.175494034690857,0.124404531183243,0.276526453600327,0.126527418298721
UIPRMD_reg_SASLR,0,0.118604476045609,0.0962819983472824,0.150492292832375,0.11561980206871,0.123564798528671,0.088611495349884,0.103270889217377,0.0927985097875595,0.0871331808266639
UIPRMD_reg_SASLR,1,0.0845962293128967,0.118529986087799,0.123492290311337,0.0772057808618545,0.0970325723924636,0.0794435329418182,0.107661835668564,0.0606287426853179,0.105200614152431
UIPRMD_reg_SASLR,2,0.0862071471605301,0.0974026469922065,0.0490574660463333,0.0994152854418754,0.0781231128845214,0.0604838345537185,0.0874522363815307,0.0648027320241928,0.0526715676422119
UIPRMD_reg_SASLR,3,0.0895871147203445,0.0268730742104848,0.0501909003909428,0.0398494412766562,0.11329560455958,0.0580768367407056,0.117542970617082,0.0489175259113311,0.0794610341824425
UIPRMD_reg_SASLR,4,0.0653906838989257,0.0920542130957709,0.0690979258971744,0.067216465894911,0.0890185979016622,0.0747876296530829,0.0787329548274146,0.0906590451886918,0.0488818218045764
UIPRMD_reg_SASLR,5,0.0409367817444271,0.0575546533266703,0.0313458876525031,0.0440403998417324,0.0705066228156619,0.0451535529412163,0.0558579197438558,0.0573792304123772,0.0578036060312059
UIPRMD_reg_SASLR,6,0.0654322116067674,0.061922868466907,0.0579108286984761,0.0424408782842424,0.063069888010025,0.0563690187952253,0.0801454919507768,0.0419925092718336,0.113983663314183
UIPRMD_reg_SASLR,7,0.168507734609331,0.0384388370813642,0.120653257521902,0.0380531338228498,0.111392391336986,0.0534386914212363,0.103410444510324,0.0444329178959982,0.0321569136701311
UIPRMD_reg_SL,0,0.0576093250995212,0.0517114129776424,0.035496483754052,0.0553809326044718,0.0530167798338995,0.042076446064843,0.0556941418658362,0.0370927561134762,0.0525121583324008
UIPRMD_reg_SL,1,0.0697060967010922,0.0753081610986921,0.0436849260160658,0.0448673962677849,0.064667302283181,0.0919320587041643,0.0619428360377417,0.0353080799569023,0.04844907025973
UIPRMD_reg_SL,2,0.0508564668199751,0.0530340131060282,0.0489204436143239,0.0375703421645694,0.0514782442082299,0.0786259456888834,0.0520568755764431,0.0516136910120646,0.149426245246662
UIPRMD_reg_SL,3,0.0681289623843298,0.0669605471563339,0.0638282329161961,0.0745786018096076,0.0927815009477403,0.0622664017274644,0.0981791135544247,0.0535066816107432,0.097823655957116
UIPRMD_reg_SL,4,0.068829111919403,0.0725254289489322,0.0227517430888281,0.0578468549304538,0.0580596292029486,0.0479871179792615,0.0497682371287875,0.0338221259064144,0.0395497940508524
UIPRMD_reg_SL,5,0.125061947127978,0.108513363557392,0.0622309359746509,0.119284857231114,0.137968156072829,0.0765977154795329,0.127577958833906,0.0399403608030742,0.0671769389512804
UIPRMD_reg_SL,6,0.0758175962861379,0.0279506670178307,0.0725897007634904,0.0356493194145626,0.0441205717277526,0.0390980111344655,0.0669000175380706,0.0573579876761966,0.0754718876621458
UIPRMD_reg_SL,7,0.108009249367033,0.137172345075607,0.132683715121405,0.132231780855996,0.146785197669438,0.123388184291295,0.140235496149063,0.117172344636917,0.105885434971537
UIPRMD_reg_SSA,0,0.116151250205835,0.0824034852960375,0.077662206670973,0.0968713268736998,0.218677217084037,0.0697690929031372,0.217727711168395,0.0562862697246339,0.0982175329340829
UIPRMD_reg_SSA,1,0.158315118186076,0.113880107406113,0.0646750134311782,0.114377173689339,0.22756916147338,0.0654708235624101,0.24259001276758,0.0902438291443718,0.136205572708514
UIPRMD_reg_SSA,2,0.196723270615472,0.203982273778915,0.173134564228058,0.166300398814943,0.222395924926334,0.191349359572728,0.223934127424028,0.152655426702499,0.1579887293254
UIPRMD_reg_SSA,3,0.269271978174713,0.0927158164776695,0.375355151645078,0.145206796640025,0.202625935081906,0.24007643919362,0.165582264268663,0.130291622067557,0.138856634855734
UIPRMD_reg_SSA,4,0.185171787335823,0.11816448041492,0.167224666829341,0.168472635366652,0.166610995286306,0.183428172616429,0.169303080853356,0.074289368343883,0.138586596005758
UIPRMD_reg_SSA,5,0.212328776302603,0.208579754911529,0.242327993196911,0.170577967077891,0.169628013607661,0.197080248575211,0.203508808318244,0.0762549614678488,0.127806609414948
UIPRMD_reg_SSA,6,0.116158199797206,0.0873660262441635,0.0697666469213697,0.0671789050441317,0.152723470131556,0.122883319324917,0.0783706753677792,0.0832615739970737,0.218537736949126
UIPRMD_reg_SSE,0,0.0982066208812925,0.0646176725504133,0.139602828782929,0.0664744409947925,0.12932480752733,0.188142618726359,0.0820015580738915,0.0801106715149349,0.225809396036466
UIPRMD_reg_SSE,1,0.161370653567447,0.0585143755457136,0.0638596047019958,0.0778161158508724,0.104954148440891,0.116496788686117,0.0787988838810391,0.121578975410991,0.173965504197843
UIPRMD_reg_SSE,2,0.134752389360004,0.0940693487203121,0.143183857105043,0.0975002395794126,0.158467741587957,0.156235568293466,0.117258958044052,0.0957066376774178,0.104872379864189
