dataset,ConvTran,MotionGRU,LITEMV,ConvLSTM,DisjointCNN,VanTran,FCN,H-Inception,STGCN
KERAAL_clf_mc_ELK,110.82622091770183,102.98495227495819,134.24131370385484,335.73264943758653,210.66701175371816,305.8338308811187,261.36222015221915,1279.8789886077268,5993.331530531247
KERAAL_clf_mc_RTK,101.23598322073606,103.73069396018991,117.69940484364834,315.43821356296513,194.98752268950167,278.8171694040297,219.754858883222,1282.4122174024567,5654.125457652411
KIMORE_clf_bn_LA,86.8546525001526,66.04680244445801,337.44854952812204,156.9522990798948,344.6581914424894,235.9615340518952,179.480290403366,1194.598737049102,3872.130794353486
KIMORE_clf_bn_LT,96.92744000434877,91.3660640716553,342.1085245895386,176.7817765331268,388.35703555107136,267.14379747390757,198.6146142578126,1052.47142964363,4292.820507593156
KIMORE_clf_bn_PR,100.71703890800481,72.28864146232604,343.81863261222844,178.9463234996796,388.2455397224426,290.0244378471374,214.9039421844484,1061.232000465392,4558.604655551911
KIMORE_clf_bn_Sq,68.61528158187863,86.0575901889801,329.9046581935882,133.5099681949614,354.4072034072878,194.2796277618408,219.856547088623,1087.88155743599,2954.1034592056258
KIMORE_clf_bn_TR,95.13990066528319,102.0635332965852,340.9813869190214,176.4560630321502,367.293666820526,268.3470485877988,202.1556322956084,1283.810342626572,4374.725942831042
KINECAL_clf_bn_3WFV,42.71537749290468,62.11529681205748,414.59288461685185,81.17317806243898,326.3724111938476,114.4205760478972,299.1027415561676,1251.60663822174,1332.467965173722
KINECAL_clf_bn_GGFV,45.777790451049825,62.71252849578856,414.9449161720274,91.39353266716006,324.17439208030703,125.6434297943114,291.1774589729308,1296.8912818717981,1539.678444852828
KINECAL_clf_bn_QSEC,80.92369248390199,78.28064494132995,102.59282507896421,219.0747721004484,124.11219252586379,203.2020483016966,274.34432150840763,1261.589831581118,6165.59318549156
KINECAL_clf_bn_QSEO,81.6025733757019,79.15828977584837,99.23162897109987,214.8543071651456,128.03447650909442,206.900112323761,214.33905623435982,1242.031459598542,6159.378817462922
SPHERE_clf_bn_WUS,32.765197738011665,73.6401166915894,267.6631034374237,62.24973254203795,488.7455864667895,106.74694036642717,357.78487785657245,1145.5402247111012,1089.5293444633467
UCDHE_clf_bn_MP,103.48495926857,269.99415884017924,162.8669112586976,408.117388420105,445.63014318466173,690.0572256469726,193.5096375846864,658.7327460098265,21393.72407076836
UCDHE_clf_bn_Rowing,127.4019608402252,340.54675067901616,205.107765750885,518.9349783039094,573.6043397903443,884.8219823932646,173.30669137001058,600.9691045379643,27933.6894716835
UCDHE_clf_mc_MP,101.72692921638483,259.5217753124236,162.7398156642916,393.25664165496835,443.89175996780375,729.1802289009092,164.54737067222578,637.3651446819308,21266.524154262537
UCDHE_clf_mc_Rowing,126.06784934043898,329.40996300697344,206.09367921829198,508.7124733161928,571.6182316398622,924.2793300151825,171.7232039546966,594.0887367725375,27715.421469764704
UIPRMD_clf_bn_DS,35.0591752910614,35.66545899391174,52.96757568359376,78.68886206626891,52.538169775009145,107.3814183330534,229.7250982284548,1150.731221961976,1261.197900648116
UIPRMD_clf_bn_HS,32.84816012382508,30.886498560224272,76.30370491572788,62.02089935030256,43.516923454829644,100.29299003737314,241.1594184058053,1139.9467801366543,729.3077193464552
UIPRMD_clf_bn_IL,30.205486973126714,29.433622527122484,57.976326791445416,62.94150022665659,40.55725209712982,103.83738280137395,272.391372537613,1134.633831477165,805.9571261803311
UIPRMD_clf_bn_SASLR,32.81678454875947,62.27374919056892,72.63852567672733,66.92726509571075,48.26728308200836,110.97210903167723,316.23515922427174,1239.3197194397437,600.4594819486142
UIPRMD_clf_bn_SL,37.44759910106659,44.26303057670592,68.67639172673226,79.6247398495674,55.14565073251726,119.50565030574812,270.4908435046675,1136.609508764745,883.3656155526637
UIPRMD_clf_bn_SSA,33.41375267165047,36.971777745655594,75.35475993156433,68.08607837813243,47.33967691830225,113.2554014069693,312.75575956617104,1139.310596847533,775.5286869117192
UIPRMD_clf_bn_SSE,33.35762024521827,32.760275530815115,71.35493159890176,67.34764715433123,47.5118210554123,110.759909516573,317.7436484336852,1131.88682011962,707.8826841235161
UIPRMD_clf_bn_SSIER,31.436730711800728,30.040764318193713,65.88626426969256,61.52280274118697,44.581277990341185,109.10901359830585,236.1974339553287,1136.6182557310385,775.8145221301486
UIPRMD_clf_bn_SSS,29.415456430117285,27.942635901769,61.24288455645243,54.823703471819584,39.5275876045227,94.32190759181975,199.82599313259118,1131.23996806145,695.5147220452624
UIPRMD_clf_bn_STS,35.06556715011596,37.399565114974976,45.77129847526552,85.1808629798889,53.12424309730528,113.91625274658199,234.2862117385862,1170.9863208389281,1343.150357236862
EHE_reg_BWL,41.16368644714356,31.071526069641102,52.81012679100036,106.81926754951462,53.88241837501526,89.88936206817625,250.1941256427764,201.1719871616364,677.6618307876586
EHE_reg_BWR,37.80366695404052,30.20977303504942,52.59694097518921,94.32030635833738,48.321428499221796,88.65315763473512,356.37453012466415,208.02430905342098,544.241181612015
EHE_reg_HUD,44.93432999610902,33.78011474609376,53.45048958778379,127.8035466861724,61.68814043998721,95.40521915435797,399.7460094451908,262.1341247177124,779.5213519954684
EHE_reg_WB,35.12003314971924,61.06487642288208,163.2961121749878,93.51695929527281,259.53167924880984,48.37988266944886,370.2681996726992,163.5029562473298,455.7007286930084
EHE_reg_WF,34.391279821395884,61.3096894454956,198.9828265476226,90.83918724060058,262.556397075653,48.066743478775024,352.6501505470276,159.8462647914888,425.76438788414
EHE_reg_WH,44.06405910491944,33.647679605484015,54.43521375656128,117.0458594894408,59.3309339618683,100.16071355819699,304.4781190204618,208.34260681152318,769.3867924308777
KIMORE_reg_LA,82.99204659461974,78.09427081108092,111.68113515853884,183.787470216751,143.9963621520996,227.555587415695,310.8604102516174,578.0070477962496,6415.726447744368
KIMORE_reg_LT,91.8542999267578,81.7412760257721,95.48790236473084,200.5194661521912,148.00662856102,250.7863966560364,275.5950315380098,511.22878177642826,7096.414916582109
KIMORE_reg_PR,99.11876636505129,87.19146265983582,92.81799083709716,211.28315603256243,156.6531397342682,272.5037153816224,255.44708580017078,358.3289783668518,7574.082079915999
KIMORE_reg_Sq,65.00401304244996,67.02954017639159,86.93035888671868,146.85591548919678,127.487719974518,174.6235467910766,260.51597902297965,385.94563820838937,4923.677970447539
KIMORE_reg_TR,94.1895533180237,85.1166602897644,95.28913108825687,203.34129693031318,151.07801902771,256.72580945014977,253.3310661411284,426.23063348770137,7264.437270755768
UIPRMD_reg_DS,33.19705143928528,33.34296422958372,44.02428641319276,70.50526719093322,51.9120544052124,78.93523039817812,270.9442968559266,794.3117486476898,1257.0824531936662
UIPRMD_reg_HS,28.33896616527013,28.317581101826256,35.676721164158415,52.46164753096444,38.6854465007782,66.24937896728515,244.2025538853238,564.1088926792144,721.8556305204121
UIPRMD_reg_IL,28.315354752540582,28.043555506070465,34.5414079030355,53.663005820910136,37.7544669230779,66.47945777575175,249.589913916588,495.51567581494646,801.3136782884602
UIPRMD_reg_SASLR,28.44475135803224,33.307217198610296,43.404095560312264,54.17083119153975,43.710976988077185,63.7189469218254,305.7974329173566,608.7660908699036,596.9125956118107
UIPRMD_reg_SL,32.38162915706635,32.91669973134994,42.66624903082846,63.56663076877594,50.59447919726375,72.66907879710197,240.5737906455994,708.487803077698,878.1230298459528
UIPRMD_reg_SSA,30.196613277707772,30.35346107482913,41.70590643882752,59.11493661744255,44.644055019106176,68.2239039829799,291.6163456303733,934.419842277255,773.1443703651429
UIPRMD_reg_SSE,29.873281693458548,30.04438165426255,41.863529294729226,55.24066833257674,43.548106610775015,68.64299542903902,289.81334972381586,817.0507296681405,702.4077291011811
UIPRMD_reg_SSIER,29.742264332090098,29.12672850745063,45.62257357324874,54.07041404587881,43.42477033478874,67.07030869211472,298.0271343571799,964.2869628497536,770.0149652957917
UIPRMD_reg_SSS,27.948521494865417,26.706070653597532,40.27578892707827,50.17026518980663,38.6321580807368,64.2342664639155,315.91349189281453,1092.8746985594428,691.995711771647
UIPRMD_reg_STS,33.38056467056276,33.976759519577044,41.070907649993885,71.71616249084471,51.38236096382142,77.0224463558197,203.5991350364684,818.3389810943606,1337.18626051903
